,Id,DiagnosticSalesVolume,DistrictId,Activity,HoldingActivity,HoldingYear,Rooms,Square,WorkingSquare,OperatingSquare,Мarketing_1,PromAct,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1
0,14045,147973.5445838733,35,7,9.0,1991,2.0,47.98156123517504,29.44275054713416,6.0,,B,0.089039719,B,B,33,7976,5,NaN,0,11
1,15060,240007.56005018193,41,7,9.0,1991,3.0,65.68363987232782,40.04954252356545,8.0,240.0,B,6.99893e-05,B,B,46,10309,1,NaN,1,16
2,4772,176740.72681886476,53,8,12.0,1991,2.0,44.947952764125,29.1976116880482,0.0,229.0,B,0.049637257,B,B,34,7759,0,NaN,1,3
3,5816,140492.98177379702,58,8,17.0,1991,2.0,53.35298135561334,52.73151204863503,9.0,1084.0,B,0.43788524,B,B,23,5735,3,NaN,0,5
4,10790,120181.22531499728,99,11,12.0,1991,1.0,39.64919195003,23.7761691108976,7.0,2078.0,B,0.012338886,B,B,35,5776,1,NaN,2,4
5,12922,172718.7581937192,59,5,17.0,2011,3.0,80.38447920267191,46.68372012823429,12.0,990.0,B,0.309479124,B,B,35,7715,4,NaN,0,6
6,14556,236816.96350169048,154,3,5.0,1991,2.0,62.2541135864025,37.16037741888674,7.0,,B,0.460556389,B,B,20,4386,14,NaN,1,5
7,12000,176995.32533086848,74,14,0.0,1991,2.0,80.31292563185586,,0.0,,B,0.075778755,B,B,6,1437,3,NaN,0,2
8,5179,183282.23679953048,1,9,17.0,1991,2.0,64.51143730838427,,1.0,,B,0.0071223169999999,B,B,1,264,0,NaN,0,1
9,8656,76304.17679453587,23,13,17.0,2014,1.0,46.46140869718414,18.915552483878766,8.0,,B,0.075778755,B,B,6,1437,3,NaN,0,2
10,15377,163394.84250303765,28,8,9.0,1991,2.0,46.304906773325854,27.922584447134263,6.0,1183.0,B,0.118537385,B,B,30,6207,1,NaN,1,0
11,12434,132427.6331397218,31,1,8.0,1991,3.0,68.80885909839964,45.73690563942196,7.0,,B,0.0,B,B,23,3684,2,NaN,0,4
12,6459,183376.29808731208,13,8,12.0,1999,2.0,54.522804902937104,31.75975305618809,1.0,,B,0.090799103,B,B,74,19083,2,NaN,5,15
13,2415,201985.52665809984,57,6,12.0,1991,3.0,68.10273923286483,39.3114930561345,8.0,1406.0,A,0.133215333,B,B,49,11395,3,NaN,3,4
14,10960,112518.05274947523,27,5,4.0,1991,1.0,53.76909713652528,52.40802696611313,1.0,,A,0.072157581,B,B,2,629,1,NaN,0,0
15,2830,71267.46230086543,85,4,9.0,1991,3.0,73.6122247317727,53.89208948435271,6.0,2300.0,B,0.037177818,B,B,52,11217,1,NaN,1,7
16,2126,93600.30502935681,27,6,5.0,1991,2.0,49.360647800323534,31.993963547007414,5.0,,B,0.051815435,B,B,5,1227,0,NaN,0,0
17,3007,185462.7501335459,34,6,14.0,2001,2.0,57.96996422253015,32.01248263525128,9.0,,B,0.069753361,B,B,53,13670,4,NaN,1,11
18,2836,146994.5843713934,57,6,12.0,1991,1.0,44.51348081256669,23.1134231345738,8.0,1406.0,A,0.133215333,B,B,49,11395,3,NaN,3,4
19,4916,315916.2607894407,19,16,20.0,2012,3.0,110.95979224728354,56.99676490132151,11.0,,B,0.000991363,B,B,33,6783,3,NaN,1,9
20,8869,417535.2459198964,0,12,17.0,2002,3.0,103.60529197422832,47.79942626246952,10.0,2857.0,B,0.319809354,B,B,25,4756,16,NaN,5,8
21,11942,101760.02120877604,27,15,1.0,1991,2.0,64.71183493873933,,1.0,,B,0.2114012139999999,B,B,9,1892,0,NaN,0,1
22,11859,172067.17524488087,48,19,20.0,1996,1.0,41.66864965650633,20.207761889892915,10.0,,B,0.041124634,B,B,46,9515,5,NaN,1,10
23,6648,456855.2420803106,54,2,0.0,1991,3.0,118.90761184257369,,0.0,645.0,B,0.006076152,B,B,30,5285,0,NaN,6,6
24,7711,193374.47962130344,150,4,5.0,1991,3.0,62.18053598937177,44.16969407540736,5.0,1340.0,B,0.020741326,B,B,24,5613,5,NaN,2,5
25,5080,195316.66165485783,74,16,17.0,1991,2.0,82.66791473448255,,1.0,,B,0.075778755,B,B,6,1437,3,NaN,0,2
26,4385,269839.8943491551,27,17,0.0,2018,3.0,106.95887123511147,0.6418221077821484,0.0,,A,0.072157581,B,B,2,629,1,NaN,0,0
27,7557,139128.73897853834,23,8,17.0,1991,2.0,64.55620925344805,,1.0,,B,0.075778755,B,B,6,1437,3,NaN,0,2
28,8061,76270.55883888605,23,3,9.0,2014,1.0,42.530043258688565,43.96775892567469,1.0,,B,0.034656082,B,B,0,168,0,NaN,0,0
29,529,170699.3331224389,11,4,9.0,1991,2.0,48.37223191245333,31.00758147862463,6.0,,B,0.0001696759999999,B,B,36,5992,0,NaN,1,1
30,96,227102.09371339635,50,9,9.0,1991,2.0,39.43535081853332,23.37768698871145,7.0,2301.0,B,0.007658515,B,B,35,7077,56,NaN,3,19
31,4792,151205.7911553684,61,12,16.0,1991,1.0,41.7651555000357,19.3431856771646,9.0,,B,0.300322518,B,B,52,10311,6,NaN,1,9
32,13260,142977.36506991234,27,9,15.0,1991,2.0,63.67911598308709,37.275774657400376,1.0,,B,0.017647053,B,B,2,469,0,NaN,0,0
